timestamp,energon_total_in_power_W,energon_cpu_in_power_W,energon_gpu_in_power_W,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,target,other_clients
1692058584.6415224,80.21571799998289,11.877960999991046,20.01,12.024922118380065,18.0,34.911441683992486,edge,1
1692058586.6504204,74.73804899997893,9.92227599999751,19.53,22.146401985111662,53.0,34.73536622422256,edge,1
1692058587.6541693,74.73804899997893,9.92227599999751,19.53,22.146401985111662,53.0,34.73536622422256,edge,1
1692058589.6608837,187.4621939999971,24.751157999999123,32.12,22.85180572851806,61.0,34.68133512737881,edge,1
1692058590.6660116,187.4621939999971,24.751157999999123,32.12,22.85180572851806,61.0,34.68133512737881,edge,1
1692058592.674172,190.15105799999904,16.58906900000875,53.02,21.51344590368981,60.0,34.766851073168944,edge,1
1692058593.6772966,219.09620999997134,19.03339899997809,78.3,22.388059701492537,56.0,34.70546685339521,edge,1
1692058595.6843987,225.10403599998796,21.064520999992965,77.58,19.88812927284027,61.0,34.76572750599798,edge,1
1692058596.6886046,225.10403599998796,21.064520999992965,77.58,19.88812927284027,61.0,34.76572750599798,edge,1
1692058598.698696,224.89139099998866,20.228585999982897,80.65,23.806571605703652,53.0,34.83200548500525,edge,1
1692058599.7022364,224.89139099998866,20.228585999982897,80.65,23.806571605703652,53.0,34.83200548500525,edge,1
1692058601.7142603,226.5342600000289,18.55329700000584,85.36,22.05700123915737,33.0,34.803679108217246,edge,1
1692058602.718231,204.94958800002934,14.149683000025107,82.05,30.062500000000004,60.0,34.802343311691764,edge,1
1692058604.7278056,226.7740390000085,20.375070000009146,81.19,17.730936143831364,63.0,34.77078355826732,edge,1
1692058605.7302153,226.7740390000085,20.375070000009146,81.19,17.730936143831364,63.0,34.77078355826732,edge,1
1692058607.737245,218.7181280000112,17.72163499999442,81.34,22.395508421709298,61.0,34.79643834200436,edge,1
1692058608.7413538,229.0666910000122,23.460450000013225,78.94,21.273964131106993,63.0,34.85171784681585,edge,1
1692058610.7473693,229.0666910000122,23.460450000013225,78.94,21.273964131106993,63.0,34.85171784681585,edge,1
1692058611.7505755,251.24516699999572,23.882446000003256,99.99,22.04968944099379,58.0,34.78427884839858,edge,1
1692058613.7610347,187.66633799998905,23.41858100000536,35.46,18.328173374612998,61.0,34.747488265589304,edge,1
1692058614.7646437,187.66633799998905,23.41858100000536,35.46,18.328173374612998,61.0,34.747488265589304,edge,1
1692058616.7826445,220.31431500001344,20.25605200001155,75.45,19.654959950708562,30.0,34.74733845663318,edge,1
1692058617.7877636,150.65217700001202,10.716159000003245,49.03,23.200992555831267,55.0,34.737001638660296,edge,1
1692058619.8004966,150.65217700001202,10.716159000003245,49.03,23.200992555831267,55.0,34.737001638660296,edge,1
1692058620.8037214,198.1922529999935,11.771516000007978,72.68,21.986258588382256,60.0,34.842542048252966,edge,1
1692058622.8096507,230.53317800000195,27.830007000011392,69.98,20.635910224438902,55.0,34.84018255719394,edge,1
1692058623.8139682,230.53317800000195,27.830007000011392,69.98,20.635910224438902,55.0,34.84018255719394,edge,1
1692058625.8220985,223.27441099999356,20.638435999979265,78.06,20.29795158286778,62.0,34.80290509527725,edge,1
1692058626.827159,223.33238599998293,19.808116000000155,80.45,23.215394165114834,60.0,34.86898332900968,edge,1
1692058628.8372204,190.6515429999749,23.969725999981165,37.48,19.342839429634218,60.0,34.81970866652301,edge,1
1692058629.8436854,190.6515429999749,23.969725999981165,37.48,19.342839429634218,60.0,34.81970866652301,edge,5
