timestamp,fps,fails,edge_preprocess_time,edge_inf_time,mobile_preprocess_time,mobile_inf_time,comm_time,end_to_end_latency,jpeg_compression,type,other_clients,position
1691100520.2378485,1.8576202724846198,0.6,-1,-1,0.008475303649902344,-1,-1,1.0505478382110596,30,edge,30,1/7
1691100520.6724396,1.8746750822053133,0.5769230769230769,0.0030395984649658203,0.06490755081176758,0.005709171295166016,-1,0.4222221374511719,0.4345850944519043,30,edge,30,1/7
1691100521.649517,1.8431480162616647,0.5555555555555556,0.005453586578369141,0.0668494701385498,0.0058557987213134766,-1,0.9579513072967529,0.9770927429199219,30,edge,30,1/7
1691100522.6653082,1.8124807716506102,0.5714285714285714,-1,-1,0.005940914154052734,-1,-1,1.015779972076416,30,edge,30,1/7
1691100523.6856353,1.7837774364622374,0.5862068965517241,-1,-1,0.005774497985839844,-1,-1,1.0203206539154053,30,edge,30,1/7
1691100524.7387955,1.755968853350644,0.6,-1,-1,0.006200075149536133,-1,-1,1.053163766860962,30,edge,30,1/7
1691100524.926238,1.922189775294284,0.5666666666666667,0.0029573440551757812,0.07375693321228027,0.010752677917480469,-1,0.1701068878173828,0.187455415725708,30,edge,30,1/7
1691100525.9475634,1.9037600205812608,0.6,-1,-1,0.005965232849121094,-1,-1,1.0213172435760498,30,edge,30,1/7
1691100526.989327,1.8775665462349609,0.6333333333333333,-1,-1,0.005863666534423828,-1,-1,1.0417625904083252,30,edge,30,1/7
1691100527.1787324,2.021448977480828,0.6,0.002985715866088867,0.07799983024597168,0.007891416549682617,-1,0.177109956741333,0.18941688537597656,30,edge,30,1/7
1691100528.1976206,2.02125254910615,0.6,-1,-1,0.005647420883178711,-1,-1,1.0188724994659424,30,edge,30,1/7
1691100529.2512434,1.9710321865702325,0.6333333333333333,-1,-1,0.008695125579833984,-1,-1,1.0536272525787354,30,edge,30,1/7
1691100529.3522122,2.26840045192016,0.6333333333333333,0.003080606460571289,0.06648039817810059,0.005682468414306641,-1,0.08861517906188965,0.10097789764404297,30,edge,30,1/7
1691100530.4077322,2.26718084898453,0.6333333333333333,-1,-1,0.005663394927978516,-1,-1,1.055511713027954,30,edge,30,1/7
