index,Unnamed: 0,timestamp,fps,fails,edge_preprocess_time,edge_inf_time,mobile_preprocess_time,mobile_inf_time,comm_time,end_to_end_latency,jpeg_compression,type,other_clients,position,energon_network_quality_wlan0_signal_level_dBm,energon_network_metrics_wlan0_rx_dropped,energon_gpu_total_usage_percentage,energon_network_metrics_wlan0_rx_errors,energon_network_quality_wlan0_bit_rate_Mbs,energon_network_metrics_wlan0_tx_packets,energon_network_metrics_wlan0_tx_errors,energon_network_metrics_wlan0_rx_packets,energon_cpu_in_power_mW,energon_network_metrics_wlan0_tx_bytes,energon_ram_used_percentage,energon_network_metrics_wlan0_rx_bytes,energon_network_metrics_wlan0_tx_dropped,energon_cpu_total_usage_percentage,energon_total_in_power_mW,energon_network_quality_wlan0_link_quality_x_over_70,energon_gpu_in_power_mW
14.0,14,1690668684.2645335,8.541056832830243,0.0,0.0008940696716308,0.021543264389038,0.0258517265319824,0.0016396045684814,0.01,0.045107612609863304,-1,split,0,1,-58.0,0.0,99.7,0.0,144.4,57304.0,0.0,27342.0,2594.0,66315875.0,12.84794147152906,2472170.0,0.0,90.20100502512562,4421.0,52.0,116.0
15.0,15,1690668684.3474555,8.760948307388015,0.0,0.0006096363067626,0.0242066383361816,0.0248115062713623,0.0016341209411621,0.01,0.040047178268432605,-1,split,0,1,-58.0,0.0,99.7,0.0,144.4,57304.0,0.0,27342.0,2594.0,66315875.0,12.84794147152906,2472170.0,0.0,90.20100502512562,4421.0,52.0,116.0
16.0,16,1690668684.4341395,8.924339554748713,0.0,0.0010983943939208,0.0284404754638671,0.0246875286102294,0.0017473697662353,0.01,0.04012490272521971,-1,split,0,1,-58.0,0.0,99.7,0.0,144.4,57304.0,0.0,27342.0,2594.0,66315875.0,12.84794147152906,2472170.0,0.0,90.20100502512562,4421.0,52.0,116.0
17.0,17,1690668684.5219426,9.061153065580848,0.0,0.001152753829956,0.0270226001739501,0.0256061553955078,0.001816987991333,0.23,0.26105878829956064,-1,split,0,1,-58.0,0.0,99.7,0.0,144.4,57304.0,0.0,27342.0,2594.0,66315875.0,12.84794147152906,2472170.0,0.0,90.20100502512562,4421.0,52.0,116.0
18.0,18,1690668684.6109571,9.175499210310084,0.0,0.001277208328247,0.0288758277893066,0.0235750675201416,0.001718521118164,0.01,0.038925418853759705,-1,split,0,1,-58.0,0.0,99.7,0.0,144.4,57304.0,0.0,27342.0,2594.0,66315875.0,12.84794147152906,2472170.0,0.0,90.20100502512562,4421.0,52.0,116.0
19.0,19,1690668684.7097328,9.222940335533693,0.0,0.0011606216430664,0.0282819271087646,0.030231237411499,0.0017275810241699,0.01,0.045560131072998104,-1,split,0,1,-58.0,0.0,99.7,0.0,144.4,57304.0,0.0,27342.0,2594.0,66315875.0,12.84794147152906,2472170.0,0.0,90.20100502512562,4421.0,52.0,116.0
20.0,20,1690668684.7958064,9.337037893340048,0.0,0.0011427402496337,0.0289638042449951,0.0238785743713378,0.0015833377838134,0.01,0.039555797576904306,-1,split,0,1,-55.0,0.0,0.0,0.0,144.4,57561.0,0.0,27471.0,3037.0,66599283.0,12.599999605815793,2486963.0,0.0,68.98263027295286,5389.0,55.0,644.0
21.0,21,1690668684.8781433,9.464636292654058,0.0,0.0011188983917236,0.0252547264099121,0.0259521007537841,0.0016376972198486,0.01,0.04101515769958501,-1,split,0,1,-55.0,0.0,0.0,0.0,144.4,57561.0,0.0,27471.0,3037.0,66599283.0,12.599999605815793,2486963.0,0.0,68.98263027295286,5389.0,55.0,644.0
22.0,22,1690668684.9618423,9.572604980055194,0.0,0.0007388591766357,0.0276122093200683,0.0225377082824707,0.0016217231750488,0.01,0.0384125804901123,-1,split,0,1,-55.0,0.0,0.0,0.0,144.4,57561.0,0.0,27471.0,3037.0,66599283.0,12.599999605815793,2486963.0,0.0,68.98263027295286,5389.0,55.0,644.0
23.0,23,1690668685.0493708,9.649771669225,0.0,0.0011482238769531,0.0300140380859375,0.023571491241455,0.0016243457794189,0.01,0.0386636352539063,-1,split,0,1,-55.0,0.0,0.0,0.0,144.4,57561.0,0.0,27471.0,3037.0,66599283.0,12.599999605815793,2486963.0,0.0,68.98263027295286,5389.0,55.0,644.0
