index,Unnamed: 0,timestamp,fps,fails,edge_preprocess_time,edge_inf_time,mobile_preprocess_time,mobile_inf_time,comm_time,end_to_end_latency,jpeg_compression,type,other_clients,position,energon_gpu_in_power_mW,energon_network_metrics_wlan0_rx_errors,energon_gpu_total_usage_percentage,energon_network_metrics_wlan0_tx_packets,energon_network_metrics_wlan0_rx_dropped,energon_network_quality_wlan0_bit_rate_Mbs,energon_network_metrics_wlan0_rx_bytes,energon_cpu_in_power_mW,energon_ram_used_percentage,energon_total_in_power_mW,energon_cpu_total_usage_percentage,energon_network_quality_wlan0_signal_level_dBm,energon_network_metrics_wlan0_rx_packets,energon_network_metrics_wlan0_tx_bytes,energon_network_metrics_wlan0_tx_errors,energon_network_quality_wlan0_link_quality_x_over_70,energon_network_metrics_wlan0_tx_dropped
14.0,14,1691100451.3079915,1.4344800683295795,0.4,0.0050954818725585,0.0638802051544189,0.0094494819641113,-1.0,0.17,0.18395201683044435,100,edge,30,1,113.0,0.0,0.0,3593.0,0.0,144.4,284126.0,2647.0,13.124757330348045,4281.0,52.63157894736843,-52.0,2959.0,2129242.0,0.0,58.0,0.0
15.0,15,1691100452.7455697,1.3883014501109263,0.4375,-1.0,-1.0,0.0090229511260986,-1.0,0.08,2.5175619888305665,100,edge,30,1,114.0,0.0,0.0,3943.0,0.0,144.4,292995.0,2618.0,13.10347138321209,4295.0,52.25,-53.0,3072.0,2629611.0,0.0,57.0,0.0
16.0,16,1691100453.1606183,1.4483959158901751,0.4117647058823529,0.0072352886199951,0.0627062320709228,0.0082437992095947,-1.0,0.15,0.16296639442443847,100,edge,30,1,114.0,0.0,0.0,3943.0,0.0,144.4,292995.0,2618.0,13.10347138321209,4295.0,52.25,-53.0,3072.0,2629611.0,0.0,57.0,0.0
17.0,17,1691100454.1689124,1.4230244948704645,0.3888888888888889,0.0047314167022705,0.0628821849822998,0.0106794834136962,-1.0,0.18,0.19859688758850097,100,edge,30,1,114.0,0.0,0.0,3943.0,0.0,144.4,292995.0,2618.0,13.10347138321209,4295.0,52.25,-53.0,3072.0,2629611.0,0.0,57.0,0.0
18.0,18,1691100454.872317,1.422949161472409,0.3684210526315789,0.0050406455993652,0.0660812854766845,0.0083019733428955,-1.0,0.21,0.22294636726379394,100,edge,30,1,113.0,0.0,0.0,4142.0,0.0,144.4,300061.0,2680.0,13.075287212467256,4250.0,52.48756218905473,-53.0,3153.0,2866293.0,0.0,57.0,0.0
19.0,19,1691100455.2840362,1.4732449960396965,0.35,0.0054020881652832,0.0643284320831298,0.008760929107666,-1.0,0.17,0.18701402664184572,100,edge,30,1,113.0,0.0,0.0,4142.0,0.0,144.4,300061.0,2680.0,13.075287212467256,4250.0,52.48756218905473,-53.0,3153.0,2866293.0,0.0,57.0,0.0
20.0,20,1691100455.4402187,1.7079500647331325,0.3333333333333333,0.0175831317901611,0.0681841373443603,0.008190631866455,-1.0,0.21,0.22504683494567868,100,edge,30,1,113.0,0.0,0.0,4356.0,0.0,144.4,307728.0,2690.0,13.065038423105502,4326.0,55.1980198019802,-52.0,3243.0,3143098.0,0.0,58.0,0.0
21.0,21,1691100455.7047086,1.8022460606641115,0.3181818181818182,0.0150692462921142,0.0632925033569336,0.0085372924804687,-1.0,0.19,0.20314854621887207,100,edge,30,1,113.0,0.0,0.0,4356.0,0.0,144.4,307728.0,2690.0,13.065038423105502,4326.0,55.1980198019802,-52.0,3243.0,3143098.0,0.0,58.0,0.0
22.0,22,1691100455.9500685,1.9010103496823303,0.3043478260869565,0.0172662734985351,0.0626866817474365,0.008366584777832,-1.0,0.05,0.06303863525390631,100,edge,30,1,113.0,0.0,0.0,4356.0,0.0,144.4,307728.0,2690.0,13.065038423105502,4326.0,55.1980198019802,-52.0,3243.0,3143098.0,0.0,58.0,0.0
23.0,23,1691100456.529896,1.8936625934481912,0.2916666666666667,0.004751443862915,0.0625782012939453,0.0083374977111816,-1.0,0.07,0.08941967010498048,100,edge,30,1,113.0,0.0,0.0,4356.0,0.0,144.4,307728.0,2690.0,13.065038423105502,4326.0,55.1980198019802,-52.0,3243.0,3143098.0,0.0,58.0,0.0
24.0,24,1691100457.6588206,1.8533480993321363,0.28,0.0051732063293457,0.0630955696105957,0.0143139362335205,-1.0,0.06,0.07659989356994651,100,edge,30,1,113.0,0.0,0.0,4862.0,0.0,144.4,321754.0,2563.0,13.04789141013487,4229.0,51.87032418952619,-52.0,3418.0,3850653.0,0.0,58.0,0.0
25.0,25,1691100458.7119875,1.818585742501506,0.3076923076923077,-1.0,-1.0,0.0103933811187744,-1.0,0.16,2.213156137466431,100,edge,30,1,112.0,0.0,0.0,5066.0,0.0,144.4,327447.0,2596.0,13.04109173257755,4290.0,52.35732009925557,-52.0,3494.0,4139901.0,0.0,58.0,0.0
26.0,26,1691100459.789412,1.7856064028085752,0.3333333333333333,-1.0,-1.0,0.0080749988555908,-1.0,0.2,2.2774195194244387,100,edge,30,1,113.0,0.0,0.0,5212.0,0.0,144.4,335388.0,2676.0,13.05065069957842,4335.0,52.47524752475248,-52.0,3578.0,4302462.0,0.0,58.0,0.0
27.0,27,1691100461.180602,1.7475065413552389,0.3571428571428571,-1.0,-1.0,0.0080735683441162,-1.0,0.21,2.6011876678466797,100,edge,30,1,113.0,0.0,0.0,5212.0,0.0,144.4,335388.0,2676.0,13.05065069957842,4335.0,52.47524752475248,-52.0,3578.0,4302462.0,0.0,58.0,0.0
28.0,28,1691100461.5960562,1.7702433725749724,0.3448275862068966,0.0050022602081298,0.0640735626220703,0.0082550048828125,-1.0,0.15,0.1627654075622558,100,edge,30,1,113.0,0.0,0.0,5335.0,0.0,144.4,339429.0,2676.0,13.044935028588208,4342.0,52.98507462686567,-53.0,3634.0,4461314.0,0.0,57.0,0.0
29.0,29,1691100462.8335474,1.738171718868047,0.3666666666666666,-1.0,-1.0,0.0080561637878417,-1.0,0.06,2.297480163574219,100,edge,30,1,113.0,0.0,1.2,5551.0,0.0,144.4,346090.0,2638.0,13.044639390433543,4304.0,52.11970074812968,-52.0,3719.0,4756666.0,0.0,58.0,0.0
30.0,30,1691100464.1711435,1.762969466861634,0.4,-1.0,-1.0,0.0083155632019042,-1.0,0.06,2.3975985622406006,100,edge,30,1,113.0,0.0,1.2,5551.0,0.0,144.4,346090.0,2638.0,13.044639390433543,4304.0,52.11970074812968,-52.0,3719.0,4756666.0,0.0,58.0,0.0
31.0,31,1691100464.9132566,1.776851509089713,0.3666666666666666,0.0055165290832519,0.0630156993865966,0.0102109909057617,-1.0,0.05,0.06481294631958008,100,edge,30,1,113.0,0.0,0.0,5683.0,0.0,144.4,351952.0,2638.0,13.040401910216664,4304.0,51.75000000000001,-52.0,3788.0,4912965.0,0.0,58.0,0.0
32.0,32,1691100466.1722531,1.7379079187245443,0.4,-1.0,-1.0,0.0119569301605224,-1.0,0.22,2.47900411605835,100,edge,30,1,113.0,0.0,0.0,5887.0,0.0,144.4,357227.0,2634.0,13.05409981138286,4297.0,57.5682382133995,-53.0,3857.0,5199001.0,0.0,57.0,0.0
33.0,33,1691100469.3139417,0.3182990795797785,0.0,0.0032694339752197,0.0640201568603515,0.0063016414642333,-1.0,0.06,2.609174308776856,50,edge,30,1,114.0,0.0,0.0,5974.0,0.0,144.4,367189.0,2656.0,12.964028720261265,4333.0,52.86783042394014,-52.0,3960.0,5221724.0,0.0,58.0,0.0
34.0,34,1691100470.3165877,0.6578277934058768,0.0,0.0037250518798828,0.06559419631958,0.005685806274414,-1.0,0.07,0.08010417938232411,50,edge,30,1,114.0,0.0,0.0,5974.0,0.0,144.4,367189.0,2656.0,12.964028720261265,4333.0,52.86783042394014,-52.0,3960.0,5221724.0,0.0,58.0,0.0
