timestamp,fps,fails,edge_preprocess_time,edge_inf_time,mobile_preprocess_time,mobile_inf_time,comm_time,end_to_end_latency,jpeg_compression,type,other_clients,position
1690668682.642249,0.0017863631666806615,0.0,0.0017762184143066406,0.48807740211486816,0.6148550510406494,0.3397493362426758,0.6807363033294678,559.7965848445892,-1,split,0,1/7
1690668682.7598093,4.245933908349651,0.0,0.0010385513305664062,0.028427600860595703,0.040609121322631836,0.002398252487182617,0.06721162796020508,0.11778450012207031,-1,split,0,1/7
1690668682.8588228,6.1972619012080195,0.0,0.0008859634399414062,0.022867441177368164,0.023142099380493164,0.0015003681182861328,0.07030534744262695,0.09901070594787598,-1,split,0,1/7
1690668682.988319,6.5786913798182285,0.0,0.0011150836944580078,0.02642202377319336,0.04942059516906738,0.0015828609466552734,0.056554317474365234,0.12948369979858398,-1,split,0,1/7
1690668683.0740879,7.594164562312393,0.0,0.00045371055603027344,0.022634029388427734,0.03253674507141113,0.002040386199951172,0.047521114349365234,0.08579230308532715,-1,split,0,1/7
1690668683.1863844,7.812859326220863,0.0,0.0010530948638916016,0.03194928169250488,0.042356014251708984,0.0015969276428222656,0.0604095458984375,0.11227965354919434,-1,split,0,1/7
1690668683.3000767,7.953176777611438,0.0,0.0010170936584472656,0.030991077423095703,0.037526845932006836,0.001821756362915039,0.061476707458496094,0.11369991302490234,-1,split,0,1/7
1690668683.4077666,8.120366876833993,0.0,0.0013566017150878906,0.02676248550415039,0.04279685020446777,0.0018475055694580078,0.054136037826538086,0.1076345443725586,-1,split,0,1/7
1690668683.4993107,8.431259631187537,0.0,0.0004711151123046875,0.020094871520996094,0.030875205993652344,0.0017502307891845703,0.04880952835083008,0.09158849716186523,-1,split,0,1/7
1690668683.733846,8.014514502043403,0.0,0.00054931640625,0.020527124404907227,0.07136082649230957,0.0017981529235839844,0.1421375274658203,0.23453211784362793,-1,split,0,1/7
1690668683.8552978,8.034419811271393,0.0,0.001096963882446289,0.031369686126708984,0.04572176933288574,0.0022673606872558594,0.061672210693359375,0.12145543098449707,-1,split,0,1/7
1690668683.9575214,8.181103715044392,0.0,0.0009496212005615234,0.021733522415161133,0.041144609451293945,0.0030825138092041016,0.05243992805480957,0.1020967960357666,-1,split,0,1/7
1690668684.065116,8.265893968479686,0.0,0.001138448715209961,0.028490781784057617,0.03589653968811035,0.0022954940795898438,0.05862283706665039,0.10771942138671875,-1,split,0,1/7
1690668684.1818452,8.287323335291086,0.0,0.0010287761688232422,0.028466463088989258,0.037862300872802734,0.004067420959472656,0.06060600280761719,0.11674189567565918,-1,split,0,1/7
1690668684.2645335,8.541056832830243,0.0,0.0008940696716308594,0.021543264389038086,0.025851726531982422,0.0016396045684814453,0.04758262634277344,0.08269023895263672,-1,split,0,1/7
1690668684.3474555,8.760948307388015,0.0,0.0006096363067626953,0.02420663833618164,0.024811506271362305,0.0016341209411621094,0.05287623405456543,0.08292341232299805,-1,split,0,1/7
1690668684.4341395,8.924339554748713,0.0,0.0010983943939208984,0.028440475463867188,0.024687528610229492,0.0017473697662353516,0.056540727615356445,0.08666563034057617,-1,split,0,1/7
1690668684.5219426,9.061153065580848,0.0,0.0011527538299560547,0.027022600173950195,0.025606155395507812,0.0018169879913330078,0.05676078796386719,0.08781957626342773,-1,split,0,1/7
1690668684.6109571,9.175499210310083,0.0,0.0012772083282470703,0.02887582778930664,0.0235750675201416,0.0017185211181640625,0.06009221076965332,0.08901762962341309,-1,split,0,1/7
1690668684.7097328,9.222940335533691,0.0,0.0011606216430664062,0.02828192710876465,0.030231237411499023,0.0017275810241699219,0.06321191787719727,0.09877204895019531,-1,split,0,1/7
1690668684.7958064,9.337037893340048,0.0,0.001142740249633789,0.028963804244995117,0.02387857437133789,0.0015833377838134766,0.056510210037231445,0.08606600761413574,-1,split,0,1/7
1690668684.8781433,9.464636292654058,0.0,0.0011188983917236328,0.02525472640991211,0.02595210075378418,0.0016376972198486328,0.05132865905761719,0.08234381675720215,-1,split,0,1/7
1690668684.9618425,9.572604980055194,0.0,0.0007388591766357422,0.02761220932006836,0.022537708282470703,0.0016217231750488281,0.05528402328491211,0.08369660377502441,-1,split,0,1/7
1690668685.0493708,9.649771669225,0.0,0.001148223876953125,0.0300140380859375,0.023571491241455078,0.0016243457794189453,0.05886673927307129,0.08753037452697754,-1,split,0,1/7
1690668685.1382616,9.71386050499999,0.0,0.001375436782836914,0.02956247329711914,0.023401498794555664,0.0015943050384521484,0.05648517608642578,0.08887314796447754,-1,split,0,1/7
1690668685.2345726,9.739544032836362,0.0,0.0011568069458007812,0.028222084045410156,0.03400444984436035,0.0022611618041992188,0.0565030574798584,0.09632396697998047,-1,split,0,1/7
1690668685.3214653,9.805134273438846,0.0,0.001142740249633789,0.028080463409423828,0.024580717086791992,0.0015285015106201172,0.057076215744018555,0.08687734603881836,-1,split,0,1/7
1690668685.432404,9.776840020774712,0.0,0.001132965087890625,0.027771711349487305,0.04203438758850098,0.0056226253509521484,0.0556645393371582,0.11095213890075684,-1,split,0,1/7
1690668685.5425136,9.752878683839127,0.0,0.0011887550354003906,0.02740001678466797,0.03886246681213379,0.0019037723541259766,0.05507469177246094,0.1101083755493164,-1,split,0,1/7
