timestamp,fps,fails,edge_preprocess_time,edge_inf_time,mobile_preprocess_time,mobile_inf_time,comm_time,end_to_end_latency,jpeg_compression,type,other_clients,position
1690668205.075581,0.010106312289701113,1.0,-1,-1,0.0531158447265625,-1,-1,98.94806051254272,100,edge,0,1/7
1690668205.3853204,1.6179256684673955,0.5,0.004681825637817383,0.060564517974853516,0.010659933090209961,-1,0.28510284423828125,0.31000590324401855,100,edge,0,1/7
1690668205.5280337,3.4166456738816304,0.3333333333333333,0.014902591705322266,0.06185436248779297,0.008316993713378906,-1,0.12970852851867676,0.14257025718688965,100,edge,0,1/7
1690668205.6880968,4.123127637408493,0.25,0.01662898063659668,0.06327414512634277,0.00840139389038086,-1,0.146392822265625,0.16019034385681152,100,edge,0,1/7
1690668205.8973117,4.254416544236941,0.2,0.016879558563232422,0.06429529190063477,0.011307716369628906,-1,0.188734769821167,0.20922374725341797,100,edge,0,1/7
1690668206.0476434,4.65388152931796,0.16666666666666666,0.015662431716918945,0.06345105171203613,0.009339570999145508,-1,0.13378167152404785,0.15034866333007812,100,edge,0,1/7
1690668206.2271948,4.784693125155251,0.14285714285714285,0.016666173934936523,0.06546592712402344,0.011037111282348633,-1,0.16240763664245605,0.17954730987548828,100,edge,0,1/7
1690668206.3828757,4.989510051181085,0.125,0.01661229133605957,0.06340670585632324,0.00839376449584961,-1,0.1397252082824707,0.1556849479675293,100,edge,0,1/7
1690668206.5392249,5.1457843888602515,0.1111111111111111,0.014852046966552734,0.06466460227966309,0.00831294059753418,-1,0.1435232162475586,0.15634822845458984,100,edge,0,1/7
1690668206.7014203,5.247762392257465,0.1,0.016797780990600586,0.0635831356048584,0.008342742919921875,-1,0.14936351776123047,0.16219115257263184,100,edge,0,1/7
1690668206.8537922,5.367328836973871,0.09090909090909091,0.016631126403808594,0.06536316871643066,0.008308172225952148,-1,0.13953900337219238,0.15236949920654297,100,edge,0,1/7
1690668207.0335784,5.383561860905833,0.08333333333333333,0.019389629364013672,0.06540036201477051,0.01053762435913086,-1,0.1646726131439209,0.17978739738464355,100,edge,0,1/7
1690668207.183066,5.484006438475977,0.07692307692307693,0.016483545303344727,0.06521391868591309,0.008306741714477539,-1,0.13588237762451172,0.149491548538208,100,edge,0,1/7
1690668207.3415134,5.5431059803045555,0.07142857142857142,0.014858245849609375,0.06529021263122559,0.008334875106811523,-1,0.1448345184326172,0.15844345092773438,100,edge,0,1/7
1690668207.4903975,5.621360665623791,0.06666666666666667,0.015842676162719727,0.06555604934692383,0.008099555969238281,-1,0.13797307014465332,0.14887762069702148,100,edge,0,1/7
1690668207.6524332,5.655731165714474,0.0625,0.017155170440673828,0.06540441513061523,0.008296966552734375,-1,0.15005135536193848,0.16204071044921875,100,edge,0,1/7
