timestamp,fps,fails,edge_preprocess_time,edge_inf_time,mobile_preprocess_time,mobile_inf_time,comm_time,end_to_end_latency,jpeg_compression,type,other_clients,position
1690254675.6862276,0.01776770650682843,0.0,0.01145482063293457,0.06199979782104492,0.02589106559753418,-1,0.15741848945617676,56.28188419342041,100,edge,0,1/7
1690254675.862574,2.8431947750337243,0.0,0.0052356719970703125,0.06114959716796875,0.009521007537841797,-1,0.15926480293273926,0.17640972137451172,100,edge,0,1/7
1690254676.0192893,4.022322085065445,0.0,0.005273580551147461,0.061586856842041016,0.009040117263793945,-1,0.14538359642028809,0.15672564506530762,100,edge,0,1/7
1690254676.174838,4.623978741704355,0.0,0.005021333694458008,0.06097602844238281,0.008816003799438477,-1,0.1443924903869629,0.1555464267730713,100,edge,0,1/7
1690254676.347587,4.857016505438558,0.0,0.0051746368408203125,0.061568260192871094,0.009341955184936523,-1,0.16102242469787598,0.17273640632629395,100,edge,0,1/7
1690254676.5051622,5.1051734649551,0.0,0.005023002624511719,0.06157875061035156,0.008854866027832031,-1,0.14620542526245117,0.15758061408996582,100,edge,0,1/7
1690254676.6851983,5.169369477227041,0.0,0.019005537033081055,0.06354975700378418,0.011425971984863281,-1,0.1609961986541748,0.18003273010253906,100,edge,0,1/7
1690254676.8898723,5.1339433650306745,0.0,0.005370140075683594,0.060588836669921875,0.02028036117553711,-1,0.17288804054260254,0.2046680450439453,100,edge,0,1/7
1690254677.0540273,5.240317192032078,0.0,0.005094766616821289,0.05986952781677246,0.009343147277832031,-1,0.14967894554138184,0.1641683578491211,100,edge,0,1/7
1690254677.20282,5.388346181437802,0.0,0.005155086517333984,0.061090946197509766,0.008652687072753906,-1,0.13551115989685059,0.14879608154296875,100,edge,0,1/7
1690254677.3847744,5.398129454838321,0.0,0.019977807998657227,0.061750173568725586,0.008757829666137695,-1,0.16875982284545898,0.18195176124572754,100,edge,0,1/7
1690254677.5386147,5.48996672301588,0.0,0.005065202713012695,0.06001996994018555,0.01088714599609375,-1,0.1377871036529541,0.15384197235107422,100,edge,0,1/7
1690254677.6937149,5.5637534059921485,0.0,0.005463600158691406,0.05987215042114258,0.009263992309570312,-1,0.14132404327392578,0.1550581455230713,100,edge,0,1/7
