Unnamed: 0,timestamp,fps,fails,edge_preprocess_time,edge_inf_time,mobile_preprocess_time,mobile_inf_time,comm_time,end_to_end_latency,jpeg_compression,type,other_clients,position,energon_network_quality_wlan0_signal_level_dBm,energon_network_metrics_wlan0_rx_dropped,energon_gpu_total_usage_percentage,energon_network_metrics_wlan0_rx_errors,energon_network_quality_wlan0_bit_rate_Mbs,energon_network_metrics_wlan0_tx_packets,energon_network_metrics_wlan0_tx_errors,energon_network_metrics_wlan0_rx_packets,energon_cpu_in_power_mW,energon_network_metrics_wlan0_tx_bytes,energon_ram_used_percentage,energon_network_metrics_wlan0_rx_bytes,energon_network_metrics_wlan0_tx_dropped,energon_cpu_total_usage_percentage,energon_total_in_power_mW,energon_network_quality_wlan0_link_quality_x_over_70,energon_gpu_in_power_mW
14,1690668207.4903977,5.621360665623791,0.0666666666666666,0.0158426761627197,0.0655560493469238,0.0080995559692382,-1,0.02,0.03090455055236811,100,edge,0,1,-54.0,0.0,0.0,0.0,144.4,2088.0,0.0,1677.0,2699.0,1317377.0,12.708301716475129,154388.0,0.0,57.17821782178218,4371.0,56.0,114.0
15,1690668207.6524332,5.655731165714474,0.0625,0.0171551704406738,0.0654044151306152,0.0082969665527343,-1,0.02,0.031989355087280305,100,edge,0,1,-54.0,0.0,0.0,0.0,144.4,2088.0,0.0,1677.0,2699.0,1317377.0,12.708301716475129,154388.0,0.0,57.17821782178218,4371.0,56.0,114.0
16,1690668207.8186002,5.677043528728837,0.0588235294117647,0.0168690681457519,0.0652313232421875,0.0083537101745605,-1,0.02,0.03879215240478519,100,edge,0,1,-54.0,0.0,0.0,0.0,144.4,2088.0,0.0,1677.0,2699.0,1317377.0,12.708301716475129,154388.0,0.0,57.17821782178218,4371.0,56.0,114.0
17,1690668207.9679694,5.7335782900910885,0.0555555555555555,0.0168988704681396,0.0649874210357666,0.0081567764282226,-1,0.02,0.0307073783874512,100,edge,0,1,-54.0,0.0,0.0,0.0,144.4,2088.0,0.0,1677.0,2699.0,1317377.0,12.708301716475129,154388.0,0.0,57.17821782178218,4371.0,56.0,114.0
18,1690668208.1239398,5.76925916012716,0.0526315789473684,0.0169024467468261,0.0666413307189941,0.0102431774139404,-1,0.03,0.04253294944763181,100,edge,0,1,-54.0,0.0,0.0,0.0,144.4,2088.0,0.0,1677.0,2699.0,1317377.0,12.708301716475129,154388.0,0.0,57.17821782178218,4371.0,56.0,114.0
19,1690668208.2840967,5.793016422758298,0.05,0.0166046619415283,0.0658259391784668,0.0087926387786865,-1,0.02,0.033965368270874,100,edge,0,1,-54.0,0.0,0.0,0.0,144.4,2088.0,0.0,1677.0,2699.0,1317377.0,12.708301716475129,154388.0,0.0,57.17821782178218,4371.0,56.0,114.0
20,1690668208.456036,5.794090694472127,0.0476190476190476,0.0164048671722412,0.065805435180664,0.0102035999298095,-1,0.02,0.032630224227905305,100,edge,0,1,-54.0,0.0,0.0,0.0,144.4,3041.0,0.0,1926.0,2661.0,2674638.0,12.68169428255518,175410.0,0.0,54.862842892768086,4326.0,56.0,114.0
21,1690668208.615999,5.814868735626496,0.0454545454545454,0.01652193069458,0.0655524730682373,0.0080997943878173,-1,0.02,0.03246690750122071,100,edge,0,1,-54.0,0.0,0.0,0.0,144.4,3041.0,0.0,1926.0,2661.0,2674638.0,12.68169428255518,175410.0,0.0,54.862842892768086,4326.0,56.0,114.0
22,1690668208.8022175,5.795552684992692,0.0434782608695652,0.0169639587402343,0.0655922889709472,0.0081591606140136,-1,0.03,0.043344287872314397,100,edge,0,1,-54.0,0.0,0.0,0.0,144.4,3041.0,0.0,1926.0,2661.0,2674638.0,12.68169428255518,175410.0,0.0,54.862842892768086,4326.0,56.0,114.0
23,1690668208.9838028,5.783535796013827,0.0416666666666666,0.0166652202606201,0.0687682628631591,0.0102262496948242,-1,0.02,0.03834845542907718,100,edge,0,1,-54.0,0.0,0.0,0.0,144.4,3041.0,0.0,1926.0,2661.0,2674638.0,12.68169428255518,175410.0,0.0,54.862842892768086,4326.0,56.0,114.0
